,skid,cell_type,idx,name,name_noside,side,annotated_name
77,12000033,DN-SEZ,678.0,BAmas12 SEZ descending left; Another SOG PN left,BAmas12 SEZ descending; Another SOG PN,left,no official annotation
78,15673867,sensory,1683.0,MN-L-Sens-B2-ACp-22,MNSens-B2-ACp-22,left,gustatory-external
79,11736972,sensory,175.0,MN-L-Sens-B2-ACp-15,MNSens-B2-ACp-15,left,gustatory-external
80,15688358,sensory,1164.0,MN-L-Sens-B2-ACp-20,MNSens-B2-ACp-20,left,gustatory-external
81,15998100,sensory,1436.0,AN-L-Sens-B2-ACp-13,ANSens-B2-ACp-13,left,gustatory-pharyngeal
82,16288872,sensory,1245.0,MN-L-Sens-B3-ACp-02,MNSens-B3-ACp-02,left,gustatory-pharyngeal
83,15998817,sensory,1279.0,AN-L-Sens-B2-ACp-12,ANSens-B2-ACp-12,left,gustatory-pharyngeal
84,13830600,DN-SEZ,1237.0,BAmas12_dor descending 1 left,BAmas12_dor descending 1,left,no official annotation
85,15998782,sensory,2155.0,AN-L-Sens-B2-ACp-04,ANSens-B2-ACp-04,left,gustatory-pharyngeal
86,17423125,DN-SEZ,2700.0,BAmas12 midline neuron 4 left,BAmas12 midline neuron 4,left,no official annotation
87,15998768,sensory,2814.0,AN-L-Sens-B2-ACp-09,ANSens-B2-ACp-09,left,gustatory-pharyngeal
88,15997983,sensory,2827.0,AN-L-Sens-B2-ACp-06,ANSens-B2-ACp-06,left,gustatory-pharyngeal
89,3797420,DN-SEZ,1510.0,Input to both Munin PC 3 left- paired with #5558724,Input to both Munin PC 3- paired with #5558724,left,no official annotation
90,15673925,sensory,1271.0,MN-L-Sens-B2-ACpl-03,MNSens-B2-ACpl-03,left,gustatory-external
91,5120097,sensory,1680.0,AN-L-Sens-B3-VM-12,ANSens-B3-VM-12,left,gustatory-external
92,15590761,sensory,2272.0,AN-L-Sens-B2-ACp-07,ANSens-B2-ACp-07,left,gustatory-pharyngeal
93,17351780,DN-SEZ,1471.0,output to SEZ right,output to SEZ,left,no official annotation
94,15998469,sensory,1413.0,AN-L-Sens-B2-ACp-05,ANSens-B2-ACp-05,left,gustatory-pharyngeal
95,15998307,sensory,1135.0,AN-L-Sens-B2-ACp-10,ANSens-B2-ACp-10,left,gustatory-pharyngeal
96,15998261,sensory,2511.0,AN-L-Sens-B2-ACp-15,ANSens-B2-ACp-15,left,gustatory-pharyngeal
97,17728571,DN-SEZ,599.0,BAl descending left,BAl descending,left,no official annotation
98,17728605,DN-SEZ,1428.0,sneak left,sneak,left,no official annotation
99,15998218,sensory,1398.0,AN-L-Sens-B2-ACp-08,ANSens-B2-ACp-08,left,gustatory-pharyngeal
100,15677030,sensory,1623.0,MN-L-Sens-B2-VM-05,MNSens-B2-VM-05,left,gustatory-external
101,18440675,DN-SEZ,2145.0,BAmas12 midline 3 left,BAmas12 midline 3,left,no official annotation
102,3608397,sensory,2538.0,AN-L-Sens-B3-ACal-01 (temp sensing left neuron alone),ANSens-B3-ACal-01 ,left,thermo-cold
103,15997807,sensory,2614.0,AN-L-Sens-B2-ACp-16,ANSens-B2-ACp-16,left,gustatory-pharyngeal
104,8055671,sensory,59.0,MN-L-Sens-B1-ACpl-01,MNSens-B1-ACpl-01,left,gustatory-external
105,15716094,sensory,816.0,MN-L-Sens-B2-ACp-05,MNSens-B2-ACp-05,left,gustatory-external
106,9842383,DN-SEZ,2109.0,UNK anterior basal 1 left,UNK anterior basal 1,left,no official annotation
107,1706716,sensory,2123.0,AN-L-Sens-B2-ACp-19,ANSens-B2-ACp-19,left,gustatory-pharyngeal
108,1715990,sensory,1746.0,AN-L-Sens-B2-ACp-17,ANSens-B2-ACp-17,left,gustatory-pharyngeal
109,15997929,sensory,1638.0,AN-L-Sens-B2-ACp-23,ANSens-B2-ACp-23,left,gustatory-pharyngeal
110,15717736,sensory,1645.0,MN-L-Sens-B3-ACp-05,MNSens-B3-ACp-05,left,gustatory-pharyngeal
111,11229136,DN-SEZ,1334.0,BAla12 descending 2 left,BAla12 descending 2,left,no official annotation
112,15717935,sensory,1652.0,MN-L-Sens-B3-ACpl-07,MNSens-B3-ACpl-07,left,gustatory-pharyngeal
113,7556564,sensory,1650.0,MN-L-Sens-B3-ACp-03,MNSens-B3-ACp-03,left,gustatory-pharyngeal
114,7439909,sensory,2180.0,AN-L-Sens-B2-ACp-03,ANSens-B2-ACp-03,left,gustatory-pharyngeal
115,15995404,sensory,1969.0,AN-L-Sens-B2-ACp-22,ANSens-B2-ACp-22,left,gustatory-pharyngeal
116,17359133,DN-SEZ,245.0,SEZ cup left,SEZ cup,left,no official annotation
117,3652587,sensory,1172.0,AN-L-Sens-B3-ACp-08,ANSens-B3-ACp-08,left,gustatory-external
118,3639968,sensory,2101.0,AN-L-Sens-B3-ACal-02 (temp sensing left neuron together 2),ANSens-B3-ACal-02 ,left,thermo-cold
119,3609202,sensory,1251.0,AN-L-Sens-B3-ACal-03 (temp sensing left neuron together 1),ANSens-B3-ACal-03 ,left,thermo-cold
120,15686512,sensory,105.0,MN-L-Sens-B2-ACp-14,MNSens-B2-ACp-14,left,gustatory-external
121,3486867,DN-SEZ,1732.0,130729_SFO Cand 42a-42b_OSN_IN1 left,130729_SFO Cand 42a-42b_OSN_IN1,left,PL-1
122,15996518,sensory,2886.0,AN-L-Sens-B2-ACp-11,ANSens-B2-ACp-11,left,gustatory-pharyngeal
123,15717426,sensory,1021.0,MN-L-Sens-B2-AVp-02,MNSens-B2-AVp-02,left,gustatory-external
124,5057916,sensory,1524.0,AN-L-Sens-B3-VM-11,ANSens-B3-VM-11,left,gustatory-external
125,1347886,sensory,1754.0,AN-L-Sens-B2-AVp-01,ANSens-B2-AVp-01,left,gustatory-pharyngeal
126,15715151,sensory,2238.0,MN-L-Sens-B2-VM-01,MNSens-B2-VM-01,left,gustatory-external
127,1427012,sensory,2337.0,AN-L-Sens-B1-AVa-32,ANSens-B1-AVa-32,left,enteric
128,15718275,sensory,1014.0,MN-L-Sens-B3-ACp-06 (J Neuron),MNSens-B3-ACp-06 ,left,gustatory-pharyngeal
129,15723727,sensory,1847.0,MN-L-Sens-B3-ACp-01,MNSens-B3-ACp-01,left,gustatory-pharyngeal
130,15996160,sensory,1925.0,AN-L-Sens-B2-AVp-03,ANSens-B2-AVp-03,left,gustatory-pharyngeal
131,9808022,sensory,2793.0,MN-L-Sens-B2-AVp-01,MNSens-B2-AVp-01,left,gustatory-external
132,17608754,sensory,104.0,AN-L-Sens-B2-VM-07,ANSens-B2-VM-07,left,gustatory-pharyngeal
133,15717229,sensory,1736.0,MN-L-Sens-B2-VM-15,MNSens-B2-VM-15,left,gustatory-external
134,15724636,sensory,134.0,MN-L-Sens-B3-VM-08,MNSens-B3-VM-08,left,gustatory-pharyngeal
135,15724520,sensory,2885.0,MN-L-Sens-B3-VM-06,MNSens-B3-VM-06,left,gustatory-pharyngeal
136,15725127,sensory,1808.0,MN-L-Sens-B3-VM-10,MNSens-B3-VM-10,left,gustatory-pharyngeal
137,15725545,sensory,2257.0,MN-L-Sens-B3-VM-09,MNSens-B3-VM-09,left,gustatory-pharyngeal
138,15698623,sensory,1105.0,MN-L-Sens-B1-VM-02,MNSens-B1-VM-02,left,gustatory-external
139,15678849,sensory,1025.0,MN-L-Sens-B2-VM-12,MNSens-B2-VM-12,left,gustatory-external
140,15690711,sensory,462.0,MN-L-Sens-B2-VM-14,MNSens-B2-VM-14,left,gustatory-external
141,15996271,sensory,431.0,AN-L-Sens-B2-VM-06,ANSens-B2-VM-06,left,gustatory-pharyngeal
142,15714845,sensory,1388.0,MN-L-Sens-B2-VM-10,MNSens-B2-VM-10,left,gustatory-external
143,15713374,sensory,133.0,MN-L-Sens-B2-VM-17,MNSens-B2-VM-17,left,gustatory-external
144,15712024,sensory,922.0,MN-L-Sens-B2-VM-13,MNSens-B2-VM-13,left,gustatory-external
145,15711289,sensory,2122.0,MN-L-Sens-B2-VM-16,MNSens-B2-VM-16,left,gustatory-external
146,15700147,sensory,1170.0,MN-L-Sens-B1-VM-04,MNSens-B1-VM-04,left,gustatory-external
147,15727304,sensory,260.0,MN-L-Sens-B3-VM-04,MNSens-B3-VM-04,left,gustatory-pharyngeal
148,7480731,sensory,545.0,Rh5PR-1;left,Rh5PR-1,left,visual
149,17728632,other,2517.0,BAlc post ascending 1 left,BAlc post ascending 1,left,no official annotation
150,15608355,PN,307.0,BAlc post lat lat 6 AL left,BAlc post lat lat 6 AL,left,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN
151,16435686,other,835.0,BAla34 ascending 1 left,BAla34 ascending 1,left,no official annotation
152,12089601,PN,2387.0,BAlc_post I2 left,BAlc_post I2,left,gustatory-pharyngeal 2nd_order PN
153,2216187,sensory,2887.0,Rh5PR-2;left,Rh5PR-2,left,visual
154,2209091,sensory,2186.0,Rh5PR-4;left,Rh5PR-4,left,visual
155,19101351,PN,444.0,BLVp1 bilateral descending left,BLVp1 bilateral descending,left,gustatory-external 2nd_order PN
156,7483922,sensory,1227.0,Rh5PR-3;left,Rh5PR-3,left,visual
157,1351125,sensory,669.0,AN-L-Sens-B1-AVa-40,ANSens-B1-AVa-40,left,enteric
158,15723479,sensory,161.0,MN-L-Sens-B3-AVp-02,MNSens-B3-AVp-02,left,gustatory-pharyngeal
159,15995327,sensory,2430.0,AN-L-Sens-B1-AVa-37,ANSens-B1-AVa-37,left,enteric
160,15714330,sensory,2790.0,MN-L-Sens-B1-VM-03,MNSens-B1-VM-03,left,gustatory-external
161,15690955,sensory,1743.0,MN-L-Sens-B2-VM-06,MNSens-B2-VM-06,left,gustatory-external
162,3032520,sensory,552.0,MN-L-Sens-B3-AVp-03,MNSens-B3-AVp-03,left,gustatory-pharyngeal
163,5095269,sensory,240.0,AN-L-Sens-B3-VM-14,ANSens-B3-VM-14,left,gustatory-external
164,17380936,sensory,2051.0,AN-L-Sens-B1-AVa-33,ANSens-B1-AVa-33,left,enteric
165,5116861,sensory,2623.0,AN-L-Sens-B3-VM-15,ANSens-B3-VM-15,left,gustatory-external
166,1419315,sensory,1051.0,AN-L-Sens-B1-AVa-31,ANSens-B1-AVa-31,left,enteric
167,15711222,sensory,1717.0,MN-L-Sens-B2-VM-07,MNSens-B2-VM-07,left,gustatory-external
168,17359101,DN-SEZ,1184.0,BAmas12 midline neuron 2 left,BAmas12 midline neuron 2,left,no official annotation
169,15994926,sensory,1655.0,AN-L-Sens-B1-AVa-36,ANSens-B1-AVa-36,left,enteric
170,15699715,sensory,1749.0,MN-L-Sens-B2-VM-23,MNSens-B2-VM-23,left,gustatory-external
171,5030808,LN,302.0,keystone left,keystone,left,no official annotation
172,8877971,LN,1093.0,picky 2 left,picky 2,left,no official annotation
173,8274021,LN,144.0,picky 3 left,picky 3,left,no official annotation
174,16795838,PN,2048.0,mPN iACT bilateral UPPER left,mPN iACT bilateral UPPER,left,mPN; mPN iACT bilateral UPPER; Multiglomerular PN 1; mPN; olfactory 2nd_order PN; thermo-warm 2nd_order PN
175,8311264,LN,2028.0,broad T2 left,broad T2,left,no official annotation
176,10555409,LN,149.0,picky 4 left,picky 4,left,no official annotation
177,7939890,LN,598.0,broad T3 left,broad T3,left,no official annotation
178,7939979,LN,720.0,broad T1 left,broad T1,left,no official annotation
179,5291791,LN,2050.0,picky 0 left,picky 0,left,no official annotation
180,7941642,LN,2233.0,broad D2 left,broad D2,left,no official annotation
181,7941652,LN,1369.0,broad D1 left,broad D1,left,_broad D1
182,7394271,LN,883.0,choosy 1 left,choosy 1,left,no official annotation
183,8102935,LN,2290.0,picky 1 left,picky 1,left,no official annotation
184,8273369,LN,2292.0,choosy 2 left,choosy 2,left,no official annotation
185,10865025,DN-SEZ,621.0,lAL-1 (octopaminergic) left,lAL-1 ,left,FFN-39
186,15995861,sensory,1608.0,AN-L-Sens-B2-VM-08,ANSens-B2-VM-08,left,gustatory-pharyngeal
187,15714173,sensory,1991.0,MN-L-Sens-B1-VM-05,MNSens-B1-VM-05,left,gustatory-external
188,15678833,sensory,2435.0,MN-L-Sens-B2-VM-21,MNSens-B2-VM-21,left,gustatory-external
189,1428271,sensory,523.0,AN-L-Sens-B1-AVa-22,ANSens-B1-AVa-22,left,enteric
190,1432836,sensory,960.0,AN-L-Sens-B1-AVa-18,ANSens-B1-AVa-18,left,enteric
191,15728017,sensory,2771.0,MN-L-Sens-B3-VM-13,MNSens-B3-VM-13,left,gustatory-pharyngeal
192,3267019,sensory,1511.0,MN-L-Sens-B2-VM-19,MNSens-B2-VM-19,left,gustatory-external
193,15675901,sensory,1561.0,MN-L-Sens-B2-VM-22,MNSens-B2-VM-22,left,gustatory-external
194,3036249,sensory,488.0,MN-L-Sens-B3-VM-12,MNSens-B3-VM-12,left,gustatory-pharyngeal
195,3050645,sensory,1821.0,MN-L-Sens-B3-VM-14,MNSens-B3-VM-14,left,gustatory-pharyngeal
196,15730645,sensory,845.0,MN-L-Sens-B3-VM-05,MNSens-B3-VM-05,left,gustatory-pharyngeal
197,15730680,sensory,2694.0,MN-L-Sens-B2-VM-20,MNSens-B2-VM-20,left,gustatory-external
198,7198338,PN,327.0,24a PN left,24a PN,left,24a PN; uPN; olfactory 2nd_order PN
199,4354933,PN,163.0,85c PN left,85c PN,left,85c PN; uPN; olfactory 2nd_order PN
200,7092417,PN,112.0,47a & 33b PN left,47a & 33b PN,left,47a&33b PN; uPN; olfactory 2nd_order PN
201,3486381,PN,1818.0,42a PN left,42a PN,left,42a PN; uPN; olfactory 2nd_order PN
202,8399890,PN,1249.0,94a & 94b PN left,94a & 94b PN,left,94a&94b PN; uPN; olfactory 2nd_order PN
203,7107433,PN,1646.0,45b PN left,45b PN,left,45b PN; uPN; olfactory 2nd_order PN
204,7515491,PN,1026.0,49a PN left,49a PN,left,49a PN; uPN; olfactory 2nd_order PN
205,16259595,PN,979.0,67b PN left,67b PN,left,67b PN; uPN; olfactory 2nd_order PN
206,7865767,PN,214.0,83a PN left,83a PN,left,83a PN; uPN; olfactory 2nd_order PN
207,7845346,PN,2144.0,63a PN left,63a PN,left,63a PN; uPN; olfactory 2nd_order PN
208,7851153,PN,324.0,82a PN left,82a PN,left,82a PN; uPN; olfactory 2nd_order PN
209,7852250,PN,1066.0,45a PN left,45a PN,left,45a PN; uPN; olfactory 2nd_order PN
210,7864823,PN,1126.0,59a PN left,59a PN,left,59a PN; uPN; olfactory 2nd_order PN
211,7865652,PN,2672.0,22c PN left,22c PN,left,22c PN; uPN; olfactory 2nd_order PN
212,7865696,PN,1723.0,1a PN left,1a PN,left,1a PN; uPN; olfactory 2nd_order PN
213,4493199,PN,1596.0,13a PN left,13a PN,left,13a PN; uPN; olfactory 2nd_order PN
214,8021456,PN,2823.0,33a PN left,33a PN,left,33a PN; uPN; olfactory 2nd_order PN
215,7873135,PN,1154.0,42b PN left,42b PN,left,42b PN; uPN; olfactory 2nd_order PN
216,7916593,PN,2595.0,30a PN left,30a PN,left,30a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN
217,7934904,PN,413.0,35a PN bilateral left,35a PN bilateral,left,35a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN
218,7843730,PN,1591.0,74a PN left,74a PN,left,74a PN; uPN; olfactory 2nd_order PN
219,1924051,DN-SEZ,681.0,BAmas12 midline neuron 1 left,BAmas12 midline neuron 1,left,no official annotation
220,19180425,sensory,1187.0,MN-L-Sens-B2-VM-24,MNSens-B2-VM-24,left,gustatory-external
221,15674083,sensory,761.0,MN-L-Sens-B2-VM-02,MNSens-B2-VM-02,left,gustatory-external
222,1415168,sensory,1120.0,AN-L-Sens-B1-AVa-26,ANSens-B1-AVa-26,left,enteric
223,15725673,sensory,408.0,MN-L-Sens-B3-VM-07,MNSens-B3-VM-07,left,gustatory-pharyngeal
224,15680710,sensory,687.0,MN-L-Sens-B2-VM-03,MNSens-B2-VM-03,left,gustatory-external
225,15678441,sensory,480.0,MN-L-Sens-B2-VM-09,MNSens-B2-VM-09,left,gustatory-external
226,16014607,other,828.0,BLDc descending 1 left,BLDc descending 1,left,no official annotation
227,5778133,pre-DN-VNC,2102.0,BLP34 posterior ventral ipsilateral neuron left,BLP34 posterior ventral ipsilateral neuron,left,no official annotation
228,5767836,other,1344.0,BLP hook local left,BLP hook local,left,no official annotation
229,7766016,ascending,2345.0,H-shaped _a1l,H-shaped _a1,left,mechano-Ch
230,11717040,other,2576.0,BLP12 gripper 3 left; dpn_left_1304_10,BLP12 gripper 3; dpn_1304_10,left,no official annotation
231,2123422,ascending,2486.0,hook-1_a1l,hook-1_a1,left,mechano-Ch
232,11717045,other,578.0,BLP12 hook 5 left; dpn_left_1304_9,BLP12 hook 5; dpn_1304_9,left,no official annotation
233,11717035,other,375.0,BLP12 not great pair hook left; dpn_left_1304_12,BLP12 not great pair hook; dpn_1304_12,left,no official annotation
234,11717025,other,1338.0,BLP12 descending 4 left; dpn_left_1304_7,BLP12 descending 4; dpn_1304_7,left,no official annotation
235,2910892,PN-somato,2231.0,UNK triple branch left,UNK triple branch,left,mechano-Ch 2nd_order PN
236,11286854,PN-somato,670.0,BLVa34 hook left,BLVa34 hook,left,mechano-Ch 2nd_order PN
237,11756023,other,2550.0,BLP12 descending 2 left; dpn_left_1304_13,BLP12 descending 2; dpn_1304_13,left,no official annotation
238,11717014,pre-DN-VNC,460.0,BLP12 gripper 2 left; dpn_left_1304_4,BLP12 gripper 2; dpn_1304_4,left,no official annotation
239,17360286,pre-DN-VNC,1996.0,DALv1 contralateral 1 left,DALv1 contralateral 1,left,no official annotation
240,17729195,PN-somato,1571.0,BLDc crinkled left,BLDc crinkled,left,mechano-Ch 2nd_order PN
241,17729424,PN-somato,1630.0,BLVa34 small ipsi 2 left,BLVa34 small ipsi 2,left,noci 2nd_order PN
242,12367135,pre-DN-VNC,2897.0,BLVa_t hook 3 left,BLVa_t hook 3,left,no official annotation
243,12366640,other,2637.0,BLV hook 1 left,BLV hook 1,left,no official annotation
244,15586914,other,1960.0,BLVp1 hook 2 left,BLVp1 hook 2,left,no official annotation
245,12923749,pre-DN-SEZ,1199.0,BLAv12_lat pointer 1 left,BLAv12_lat pointer 1,left,no official annotation
246,16490014,PN-somato,881.0,BLVa34 local hook left,BLVa34 local hook,left,noci 2nd_order PN
247,16950321,other,2313.0,BLP34 hook 1 left,BLP34 hook 1,left,no official annotation
248,14437742,DN-SEZ,11.0,spruce left,spruce,left,mPN
249,11195708,DN-SEZ,2803.0,KS LN 4b left,KS LN 4b,left,no official annotation
250,11105182,DN-SEZ,2821.0,clamp left,clamp,left,mPN
251,17356450,DN-SEZ,2482.0,BAla34 ventral cluster 2 left,BAla34 ventral cluster 2,left,no official annotation
252,1435466,sensory,2339.0,AN-L-Sens-B1-AVa-21,ANSens-B1-AVa-21,left,enteric
253,16588928,DN-SEZ,554.0,BAla34 descending left,BAla34 descending,left,no official annotation
254,15724385,sensory,2029.0,MN-L-Sens-B3-AVp-01,MNSens-B3-AVp-01,left,gustatory-pharyngeal
255,15998753,sensory,2125.0,AN-L-Sens-B2-AVa-25 (PPS mechano),ANSens-B2-AVa-25 ,left,gustatory-pharyngeal
256,15984231,sensory,650.0,AN-L-Sens-B1-AVa-35,ANSens-B1-AVa-35,left,enteric
257,15983225,sensory,1097.0,AN-L-Sens-B1-AVa-34,ANSens-B1-AVa-34,left,enteric
258,15982306,sensory,1626.0,AN-L-Sens-B1-AVa-28,ANSens-B1-AVa-28,left,enteric
259,15770945,sensory,2160.0,AN-L-Sens-B1-AVa-25,ANSens-B1-AVa-25,left,enteric
260,15766999,sensory,93.0,AN-L-Sens-B1-AVa-38,ANSens-B1-AVa-38,left,enteric
261,7424178,sensory,1234.0,AN-L-Sens-B1-AVa-30,ANSens-B1-AVa-30,left,enteric
262,15984797,sensory,1621.0,AN-L-Sens-B1-AVa-23,ANSens-B1-AVa-23,left,enteric
263,8012953,PN,2573.0,PN in Olfactory Bundle 2 left,PN in Olfactory Bundle 2,left,Unknown PN 2; gustatory-external 2nd_order PN
264,12336493,PN,1146.0,Columbus of GPhN right,Columbus of GPhN,left,gustatory-external 2nd_order PN
265,4637677,other,532.0,PPLV-1 left,PPLV-1,left,no official annotation
