cell id,modalities,auditory,ciberial_mechanosensory_neuron,enteric_gustatory,grooming,gustatory,hygrosensory,johnstons_organ_other,mechanosensory,ocellar,olfactory,thermosensory,wind_gravity
720575941436095788,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941567225646,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941567461678,2,False,False,False,False,False,False,True,False,False,False,False,True
720575941448110261,2,False,False,False,False,False,False,True,False,False,False,False,True
720575941563487542,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941528439992,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941528849848,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941601731769,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941470889536,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941513855555,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941460169924,2,False,False,False,False,False,False,True,False,False,False,False,True
720575941505983813,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941624862154,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941523447883,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941511473996,3,True,False,False,False,False,False,True,False,False,False,False,True
720575941511874124,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941449528398,3,True,False,False,False,False,False,True,False,False,False,False,True
720575941440836303,2,True,False,False,False,False,False,False,False,False,False,False,True
720575941440899023,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941618969215,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941643419218,3,False,False,False,False,False,True,False,False,False,False,True,True
720575941577732185,3,True,False,False,False,False,False,True,False,False,False,False,True
720575941513942106,3,True,False,False,False,False,False,True,False,False,False,False,True
720575941688279003,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941701235930,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941554109668,2,False,False,False,False,False,False,True,False,False,False,False,True
720575941545280105,3,True,False,False,False,False,False,True,False,False,False,False,True
720575941411471983,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941568870770,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941559394931,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941687421302,2,True,False,False,False,False,False,False,False,False,False,False,True
720575941430630392,2,False,False,False,False,False,False,True,False,False,False,False,True
720575941618366079,1,False,False,False,False,False,False,False,False,False,False,False,True
720575941554615553,1,True,False,False,False,False,False,False,False,False,False,False,False
720575941573628169,1,True,False,False,False,False,False,False,False,False,False,False,False
720575941541039133,1,True,False,False,False,False,False,False,False,False,False,False,False
720575941410264235,1,True,False,False,False,False,False,False,False,False,False,False,False
720575941512895441,1,True,False,False,False,False,False,False,False,False,False,False,False
720575941575807592,2,True,False,False,False,False,False,False,True,False,False,False,False
720575941638548853,1,True,False,False,False,False,False,False,False,False,False,False,False
720575941470280311,1,True,False,False,False,False,False,False,False,False,False,False,False
720575941573324795,1,True,False,False,False,False,False,False,False,False,False,False,False
720575941642462565,1,False,False,False,False,True,False,False,False,False,False,False,False
720575941561260946,1,False,False,False,False,True,False,False,False,False,False,False,False
720575941451023482,1,False,False,False,False,True,False,False,False,False,False,False,False
720575941492697264,1,False,False,False,False,False,False,False,False,True,False,False,False
720575941445707284,1,False,False,False,False,False,False,False,False,True,False,False,False
720575941407529646,1,False,False,False,True,False,False,False,False,False,False,False,False
720575941610917037,1,False,False,False,True,False,False,False,False,False,False,False,False
720575941459161670,1,False,False,False,False,False,False,False,False,False,True,False,False
720575941413360017,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941542051101,2,False,True,False,False,False,False,False,True,False,False,False,False
720575941476367937,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941503493570,2,False,True,False,False,False,False,False,True,False,False,False,False
720575941495051463,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941438049621,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941638614645,2,False,True,False,False,False,False,False,True,False,False,False,False
720575941496004475,2,False,True,False,False,False,False,False,True,False,False,False,False
720575941482817466,3,False,True,True,False,True,False,False,False,False,False,False,False
720575941443958954,3,False,True,True,False,True,False,False,False,False,False,False,False
720575941450592890,2,False,False,True,False,True,False,False,False,False,False,False,False
720575941431321303,2,False,False,True,False,True,False,False,False,False,False,False,False
720575941507235201,1,False,True,False,False,False,False,False,False,False,False,False,False
720575941532470147,1,False,True,False,False,False,False,False,False,False,False,False,False
720575941432096270,1,False,True,False,False,False,False,False,False,False,False,False,False
720575941559017710,1,False,True,False,False,False,False,False,False,False,False,False,False
720575941564421015,1,False,True,False,False,False,False,False,False,False,False,False,False
