id,supervoxel_id,composite_cell_type,super_class,cell_type,side,UMAP1,UMAP2,cluster,colours
720575941638407199,76212443059403039,DNa15,descending,DNa15,left,-29.07347772617757,0.7555726647940694,DN_02,#F96A3C
720575941408661934,76142074315092782,DNpe026,descending,DNpe026,right,6.193693179889326,4.006826984938723,DN_24,#41A4D5
720575941575499663,76142074248606052,DNg102,descending,DNg102,right,14.021497745319014,-13.715829265061277,DN_16,#C4B39C
720575941628153913,76071705570971167,DNge140,descending,DNge140,left,-10.804261188701982,11.18631898170386,DN_07,#5BB86E
720575941624808074,76071705504320138,AN23B001,ascending,AN23B001,left,5.209308643146162,3.2574998021689474,AN_24,#41A4D5
720575941565099623,76353180480509237,AN19B004,ascending,AN19B004,right,0.009226460261945957,-6.241399180832762,AN_26,#2C8EC0
720575941519241176,75930968083031007,DNge040,descending,DNge040,left,-3.294769745067949,-13.36739195579614,DN_12,#9FB555
720575941480954019,76142074248249442,DNpe031,descending,DNpe031,right,20.649981517596846,3.449137079772097,DN_21,#672775
720575941540466381,76353180480550107,DNp08,descending,DNp08,left,8.632889766498213,2.7245005250540792,DN_24,#41A4D5
720575941447826708,76353180480364480,AN07B011,ascending,AN07B011,right,1.1417032669025708,-6.07967509025659,AN_26,#2C8EC0
720575941687585036,76282811736282905,ANXXX027,ascending,ANXXX027,right,28.288922328754072,2.2387391210166037,AN_19,#79B2E0
720575941688158447,76001336692343194,AN01B002,ascending,AN01B002,right,20.93467237453044,-8.590141665879148,AN_20,#409D3D
720575941507633793,76142074248486542,AN17A012,ascending,AN17A012,right,12.567571658893232,-8.6021598696145,AN_15,#61BAE7
720575941440399445,76142074247963198,AN05B099,ascending,AN05B099,left,28.048155803485518,-2.8695818304451883,AN_19,#79B2E0
720575941578384629,76071705504350328,DNpe025,descending,DNpe025,right,8.07634260158122,-14.26339091056909,DN_17,#7E378C
720575941485705478,76142074248083922,AN17A013,ascending,AN17A013,right,27.10410596828044,0.8110331178275166,AN_19,#79B2E0
720575941603685817,76353180480386415,ANXXX024,ascending,ANXXX024,right,-3.1035725881618212,-10.71850622886743,AN_13,#CF603E
720575941550196797,76001336759911258,DNbe007,descending,DNbe007,right,-3.564084749416704,-8.844155681076902,DN_13,#CF603E
720575941607119725,76353180480448213,DNge055,descending,DNge055,left,-7.908925991253252,-15.665842425766844,DN_13,#CF603E
720575941611188554,76566210791615842,AN01A055,ascending,AN01A055,right,16.286726970477705,-2.778194796982664,AN_21,#672775
720575941687586060,76282811736172092,ANXXX041,ascending,ANXXX041,left,20.551232356830244,-7.854030978623289,AN_20,#409D3D
720575941491157454,76071705503979274,AN08B012,ascending,AN08B012,left,27.258839626117354,0.04416878825102433,AN_19,#79B2E0
720575941489638094,76071705503981802,AN17B012,ascending,AN17B012,right,26.24299528102458,0.5748774886694966,AN_19,#79B2E0
720575941551774526,76071705570912182,DNpe023,descending,DNpe023,left,1.333857793613081,-14.667658221665281,DN_12,#9FB555
720575941578497369,76353180480620839,AN18B002,ascending,AN18B002,right,-2.1316300441783618,-6.8652042269143045,AN_26,#2C8EC0
720575941565245794,76212442992402880,DNge132,descending,DNge132,left,18.681836147113447,-3.0611170648964823,DN_20,#409D3D
720575941450555470,76071705504059993,ANXXX055,ascending,ANXXX055,left,25.076901454730635,3.1491860032645285,AN_19,#79B2E0
720575941475448123,76142074248560112,DNpe043,descending,DNpe043,left,8.06041528682292,2.5878292203513205,DN_24,#41A4D5
720575941528979844,76071705503913777,AN05B009_A3,ascending,AN05B009,left,21.262360591693525,-6.787282359543699,AN_20,#409D3D
720575941563218944,76071705571178552,DNae010,descending,DNae010,right,-23.04673288364827,1.9052058339682638,DN_02,#F96A3C
720575941438634002,76212442992224412,ANXXX055,ascending,ANXXX055,right,25.076901454730635,3.1491860032645285,AN_19,#79B2E0
720575941564155282,76286110540171644,AN13B002,ascending,AN13B002,left,29.27383901576579,-7.931537043991941,AN_20,#409D3D
720575941612039142,76001336827128095,DNbe005,descending,DNbe005,right,-25.854577045635576,0.21255337005529984,DN_02,#F96A3C
720575941546602345,76142074248208111,DNpe031,descending,DNpe031,left,20.649981517596846,3.449137079772097,DN_21,#672775
720575941414424977,75577544082281419,DNp57,descending,DNp57,right,-22.429398517803545,1.7090920091239035,DN_02,#F96A3C
720575941581888121,76142074315209525,DNg27,descending,DNg27,left,-20.13490770359456,-8.615293872300047,DN_03,#B56FCC
720575941529731768,76142074180710925,AN09B018,ascending,AN09B018,left,22.748682994647627,-18.558639895859617,AN_18,#E92F2F
720575941496116352,76215398198656998,AN23B001,ascending,AN23B001,right,5.209308643146162,3.2574998021689474,AN_24,#41A4D5
720575941539226866,76142074315078640,DNp63,descending,DNp63,right,-24.38070199985921,-0.31436144256915466,DN_02,#F96A3C
720575941633591483,76844318312766474,AN27X004,ascending,AN27X004,left,-21.43898485203206,-6.60140885109033,AN_03,#B56FCC
720575941610917037,76001336759798772,DNpe002,descending,DNpe002,right,-5.492460231975908,-9.564741504135984,DN_13,#CF603E
720575941458999711,76071705436503434,AN17B007,ascending,AN17B007,right,21.21529294948161,21.982587444838625,AN_23,#8D6F58
720575941443964074,76142074248532753,DNg22,descending,DNg22,right,18.73588087062419,-18.48434294456567,DN_16,#C4B39C
720575941472508256,76353180480644173,AN19B032,ascending,AN19B032,right,24.48417951564372,0.8107669234839497,AN_19,#79B2E0
720575941552726407,76071705570906884,DNg99,descending,DNg99,right,-18.447377186016436,15.265074360427004,DN_08,#D73029
720575941681023421,76071705504043334,AN14A003,ascending,AN14A003,left,-0.7329787572187135,3.7482792020407736,AN_27,#FBCD5A
720575941681075389,76001336759547661,ANXXX026,ascending,ANXXX026,right,22.340458888812666,-9.61805571312036,AN_20,#409D3D
720575941542468956,76142074248210891,AN05B096,ascending,AN05B096,left,19.33925344447673,-20.813459765854734,AN_16,#C4B39C
720575941601114102,76212442992304307,AN17A013,ascending,AN17A013,left,27.10410596828044,0.8110331178275166,AN_19,#79B2E0
720575941594858198,76353180547697387,DNg109,descending,DNg109,right,-0.11672414441525436,-10.326947581711668,DN_12,#9FB555
720575941531432907,76212442992255493,AN17A013,ascending,AN17A013,left,27.10410596828044,0.8110331178275166,AN_19,#79B2E0
720575941564577280,76285491997353172,AN09B016,ascending,AN09B016,right,27.831885356708174,4.6824103475180685,AN_19,#79B2E0
720575941453681203,76071705504268164,AN07B005,ascending,AN07B005,left,5.441460628314619,-9.199971568528074,AN_12,#9FB555
720575941527544708,76001336692372088,ANXXX027,ascending,ANXXX027,left,28.288922328754072,2.2387391210166037,AN_19,#79B2E0
720575941626281354,76142074180719381,AN13B002,ascending,AN13B002,right,29.27383901576579,-7.931537043991941,AN_20,#409D3D
720575941526870628,76212442992561485,AN08B009,ascending,AN08B009,right,9.552989978595381,4.1487094045249044,AN_24,#41A4D5
720575941569836914,76142074315290361,DNp101,descending,DNp101,right,6.041395683093672,-2.4010011076363504,DN_26,#2C8EC0
720575941639800607,76071705571155970,DNge107,descending,DNge107,right,-24.566063862041826,2.7042256475058615,DN_02,#F96A3C
720575941639336053,76071705436547156,DNge104,descending,DNge104,left,19.611943263812666,-6.404337298813719,DN_20,#409D3D
720575941503507435,76212442992446273,DNp02,descending,DNp02,left,10.656818408771162,4.708632576521975,DN_24,#41A4D5
720575941569349370,76212443059290345,AN06B007,ascending,AN06B007,left,1.1442629287678052,-9.553248774948973,AN_12,#9FB555
720575941441848411,76212442992298499,AN17A003,ascending,AN17A003,left,24.12318326930583,-4.956583392563719,AN_20,#409D3D
720575941463843597,76142074315212550,DNp45,descending,DNp45,left,12.357701320453291,1.6958647847739279,DN_24,#41A4D5
720575941416830748,76142074248342226,AN05B101,ascending,AN05B101,right,17.514651317401533,-27.149494540635008,AN_14,#3D9D98
720575941563466152,76142074315081531,AN27X009,ascending,AN27X009,left,-22.49537370701253,-8.96323050254907,AN_03,#B56FCC
720575941651946005,76212442992405847,AN17A003,ascending,AN17A003,left,24.12318326930583,-4.956583392563719,AN_20,#409D3D
720575941548351549,76142074314899341,AN04B003,ascending,AN04B003,left,-4.856848697857256,-1.7090605616005838,AN_26,#2C8EC0
720575941477534516,76282811736172085,AN17B012,ascending,AN17B012,left,26.24299528102458,0.5748774886694966,AN_19,#79B2E0
720575941531996645,76071705570881639,DNpe042,descending,DNpe042,left,7.575125713153486,4.699329006728274,DN_24,#41A4D5
