cell_type,vignette,super_class,super_cluster,v626_super_cluster,match_level,other_labels,description,figure_or_line
middle_leg_proprioceptor,Fig3k,sensory,,,custom,walking steering circuit,middle leg campaniform/chordotonal/hair_plate sensory neurons,Fig 3k
hind_leg_proprioceptor,Fig3k,sensory,,,custom,walking steering circuit,hind leg campaniform/chordotonal/hair_plate sensory neurons,Fig 3k
front_leg_club_chordotonal_organ_neuron,Fig4f;Fig5c,sensory,,,cell_sub_class,landing/threat circuit,front leg proprioceptive (club/chordotonal),Fig 4f; Fig 5c
hind_leg_club_chordotonal_organ_neuron,Fig4f;Fig5c,sensory,,,cell_sub_class,landing/threat circuit,hind leg proprioceptive (club/chordotonal),Fig 4f; Fig 5c
front_leg_bristle_neuron,Fig4f,sensory,,,cell_sub_class,landing circuit,front leg tactile bristle neurons,Fig 4f
hind_leg_bristle_neuron,Fig4f,sensory,,,cell_sub_class,landing circuit,hind leg tactile bristle neurons,Fig 4f
IN12B018,Fig4f,VNC intrinsic,,,cell_type,landing circuit,VNC inhibitory interneuron between DNp10 and tibia flexor motor neurons,Fig 4f
WPN,Fig5c,sensory,,,cell_type,threat response circuit,wedge projection neuron; relays antennal mechanosensory signals to DNp38; WED092c/WED092d/LHPV6q1,Fig 5c; line 533
IN18B011,Fig5c,VNC intrinsic,,,cell_type,threat response circuit,VNC inhibitory interneuron in leg motor circuit,Fig 5c
PPL101,Fig6h_mb,brain intrinsic,,,cell_type,mushroom body,mushroom body dopamine neuron; encodes negative valence,Fig 6h; line 596
PPL102,Fig6h_mb,brain intrinsic,,,cell_type,mushroom body,mushroom body dopamine neuron; encodes negative valence,Fig 6h; line 596
MBON20,Fig6h_mb,brain intrinsic,,,cell_type,mushroom body,mushroom body output neuron; positioned to suppress avoidance behavior,Fig 6h; line 602
CB0135,Fig6h_mb,brain intrinsic,,,cell_type,mushroom body circuit,bitter-responsive neuron upstream of PPL101/102,Fig 6h
AVLP445,Fig6h_mb,brain intrinsic,,,cell_type,mushroom body circuit,positive valence neuron in circuit,Fig 6h
SAxx02,Fig6h_mb,sensory ascending,,,cell_type,threat response circuit,abdomen nociceptor (multidendritic),Fig 6h; line 594
IN06B032,Fig6h_mb,VNC intrinsic,,,cell_type,threat response circuit,VNC interneuron in nociceptive circuit,Fig 6h
IN07B010,Fig6h_mb,VNC intrinsic,,,cell_type,threat response circuit,VNC interneuron in leg motor circuit,Fig 6h
PEN1,Fig6h_cx,brain intrinsic,,,cell_type,central complex,head direction ring neuron,Fig 6h
EPG,Fig6h_cx,brain intrinsic,,,cell_type,central complex,head direction neuron,Fig 6h
GLNO,Fig6h_cx,brain intrinsic,,,cell_type,central complex,angular velocity encoding; drives flight steering DNs,Fig 6h; line 607
PFL1,Fig6h_cx,brain intrinsic,,,cell_type,central complex,compares head direction with goal direction; targets flight steering DNs,Fig 6h; line 613
FC1,Fig6h_cx,brain intrinsic,,,cell_type,central complex,goal direction neuron,Fig 6h
LAL047,Fig6h_cx,brain intrinsic,,,cell_type,central complex circuit,lateral accessory lobe neuron in steering circuit,Fig 6h
LAL156a,Fig6h_cx,brain intrinsic,,,cell_type,central complex circuit,lateral accessory lobe neuron in steering circuit,Fig 6h
wing_steering_motor_neuron,Fig6h_cx,effector,flight-steering,,cell_sub_class,,wing steering motor neurons,Fig 6h
haltere_mechanosensor,Fig6h_cx,sensory,,,custom,,haltere mechanosensors; campaniform/hair_plate/chordotonal in haltere,Fig 6h
